k_over_T,E_over_T,Gamma_LPM_occ_over_T,Gamma_hard_occ_over_T,Gamma_total_occ_over_T,ImPiR_onshell_over_T2
0.10621936089526163,0.4508963879085724,0.001119495832324961,0.0009151977332697264,0.002034693565594687,-0.0009174359792274583
0.11250244894791908,0.4524177284537809,0.0011182632477203557,0.0009450877794791972,0.002063351027199553,-0.0009334965847283973
0.11915719424973262,0.4541183072080099,0.0011168942584441587,0.0009759953353609471,0.002092889593805106,-0.0009504194795120341
0.12620558107176327,0.4560184740705812,0.0011153645222177308,0.001007732718433768,0.0021230972406514987,-0.000968171563985358
0.13367089409876026,0.4581407075660947,0.0011136580342704398,0.0010400415152139813,0.002153699549484421,-0.000986697435485572
0.14157779535123646,0.4605097959180853,0.0011117708756312223,0.0010725755952931371,0.0021843464709243596,-0.0010059129475397666
0.14995240565763893,0.4631530243477992,0.0011096866671889169,0.0011050244786420607,0.002214711145830978,-0.0010257501652483972
0.1588223909457615,0.4661003667298796,0.0011073725771768655,0.0011375987532455973,0.002244971330422463,-0.0010463819604079757
0.1682170536384677,0.469384679271498,0.0011048257427355172,0.0011706981436738133,0.0022755238864093303,-0.0010680960495968762
0.17816742945565311,0.4730418934077986,0.0011020431950309161,0.0012048963865810202,0.0023069395816119366,-0.0010912790676631053
0.18870638994223843,0.47711120465257584,0.001098980643466635,0.001240135678704479,0.002339116322171114,-0.001116018606293563
0.1998687510608986,0.481635253745657,0.0010956294126391987,0.0012754627848820478,0.0023710921975212467,-0.0011420015922074932
0.2116913882082694,0.4866602961425394,0.0010919978023678847,0.0013099964872002987,0.0024019942895681834,-0.0011689552522939407
0.2242133580345931,0.49223635574909397,0.0010880515866124993,0.001344280815896705,0.0024323324025092045,-0.0011972824377815693
0.23747602746924043,0.4984173588696238,0.0010837622124305205,0.0013783363115805868,0.0024620985240111073,-0.001227152643614415
0.2515232103783508,0.5052612446636215,0.0010791435157879719,0.001412305076268829,0.0024914485920568006,-0.0012588324166380466
0.2664013123060453,0.5128300490400138,0.0010741945739739796,0.0014465249242084637,0.0025207194981824435,-0.0012927007038690216
0.28215948377737315,0.5211899598855619,0.0010688600421131379,0.0014800840514653773,0.002548944093578515,-0.0013284840698827263
0.2988497826694342,0.5304113428289104,0.0010631542565027769,0.0015119163967528735,0.0025750706532556506,-0.0013658466830726492
0.31652734618707873,0.5405687383527045,0.0010571044131676168,0.001542577751432784,0.002599682164600401,-0.0014053069078360666
0.3352505730113153,0.5517408329138013,0.0010506561427615759,0.0015723826691578832,0.002623038811919459,-0.00144723761885367
