alpha_s,M_D_over_T,y_D,p_over_T,Gamma_g_split_over_T,Gamma_q_split_over_T,Gamma_D_split_over_T,Gamma_g_to_qq_over_T,Gamma_g_to_DD_over_T,Gamma_H_to_qD_over_T,Gamma_g_elastic_over_T,Gamma_q_elastic_over_T,Gamma_QCD_slow_over_T,Gamma_kinetic_over_T,D_energy_weight,f_a_GeV,intrinsic_rate_dlnfa
0.02,0.01,0.6,3.0,0.0675003131635809,0.05282029756198897,0.04665437565495752,0.0001381999358290853,2.139451402536696e-05,0.00029294073739003217,0.04876922456132313,0.004306668261326952,0.05096104391628447,0.00029294073739003217,0.992120969689779,24350000000.0,0.0
0.02,0.01,0.6,3.0,0.0675003131635809,0.05282029756198897,0.04665437565495752,0.0001381999358290853,2.139451402536696e-05,0.00029294073739003217,0.04876922456132313,0.004306668261326952,0.05096104391628447,0.00029294073739003217,0.992120969689779,1000000000000.0,0.0
0.02,0.1,0.1,3.0,0.0675003131635809,0.05282029756198897,0.049905984602909015,0.0001381999358290853,2.0482665623690905e-05,1.1430498648685928e-05,0.04876922456132313,0.004306668261326952,0.05421265286423597,1.1430498648685928e-05,0.9930202220528589,1000000000.0,0.0
0.02,0.1,0.1,3.0,0.0675003131635809,0.05282029756198897,0.049905984602909015,0.0001381999358290853,2.0482665623690905e-05,1.1430498648685928e-05,0.04876922456132313,0.004306668261326952,0.05421265286423597,1.1430498648685928e-05,0.9930202220528589,24350000000.0,0.0
0.02,0.1,0.1,3.0,0.0675003131635809,0.05282029756198897,0.049905984602909015,0.0001381999358290853,2.0482665623690905e-05,1.1430498648685928e-05,0.04876922456132313,0.004306668261326952,0.05421265286423597,1.1430498648685928e-05,0.9930202220528589,1000000000000.0,0.0
0.02,0.1,0.3,3.0,0.0675003131635809,0.05282029756198897,0.0485437130171097,0.0001381999358290853,2.0852706619212412e-05,9.44366215569799e-05,0.04876922456132313,0.004306668261326952,0.05285038127843665,9.44366215569799e-05,0.9926450391400882,1000000000.0,0.0
0.02,0.1,0.3,3.0,0.0675003131635809,0.05282029756198897,0.0485437130171097,0.0001381999358290853,2.0852706619212412e-05,9.44366215569799e-05,0.04876922456132313,0.004306668261326952,0.05285038127843665,9.44366215569799e-05,0.9926450391400882,24350000000.0,0.0
0.02,0.1,0.3,3.0,0.0675003131635809,0.05282029756198897,0.0485437130171097,0.0001381999358290853,2.0852706619212412e-05,9.44366215569799e-05,0.04876922456132313,0.004306668261326952,0.05285038127843665,9.44366215569799e-05,0.9926450391400882,1000000000000.0,0.0
0.02,0.1,0.6,3.0,0.0675003131635809,0.05282029756198897,0.04399752385142503,0.0001381999358290853,2.2219565588028044e-05,0.0002980770431405372,0.04876922456132313,0.004306668261326952,0.048304192112751984,0.0002980770431405372,0.991375810762291,1000000000.0,0.0
0.02,0.1,0.6,3.0,0.0675003131635809,0.05282029756198897,0.04399752385142503,0.0001381999358290853,2.2219565588028044e-05,0.0002980770431405372,0.04876922456132313,0.004306668261326952,0.048304192112751984,0.0002980770431405372,0.991375810762291,24350000000.0,0.0
0.02,0.1,0.6,3.0,0.0675003131635809,0.05282029756198897,0.04399752385142503,0.0001381999358290853,2.2219565588028044e-05,0.0002980770431405372,0.04876922456132313,0.004306668261326952,0.048304192112751984,0.0002980770431405372,0.991375810762291,1000000000000.0,0.0
0.02,0.3,0.1,3.0,0.0675003131635809,0.05282029756198897,0.02930322527714835,0.0001381999358290853,2.8952818606366737e-05,1.4772055949701054e-05,0.04876922456132313,0.004306668261326952,0.0336098935384753,1.4772055949701054e-05,0.9869737111202278,1000000000.0,0.0
0.02,0.3,0.1,3.0,0.0675003131635809,0.05282029756198897,0.02930322527714835,0.0001381999358290853,2.8952818606366737e-05,1.4772055949701054e-05,0.04876922456132313,0.004306668261326952,0.0336098935384753,1.4772055949701054e-05,0.9869737111202278,24350000000.0,0.0
0.02,0.3,0.1,3.0,0.0675003131635809,0.05282029756198897,0.02930322527714835,0.0001381999358290853,2.8952818606366737e-05,1.4772055949701054e-05,0.04876922456132313,0.004306668261326952,0.0336098935384753,1.4772055949701054e-05,0.9869737111202278,1000000000000.0,0.0
0.02,0.3,0.3,3.0,0.0675003131635809,0.05282029756198897,0.028145653294678177,0.0001381999358290853,2.9745872117746063e-05,0.00011886019159718163,0.04876922456132313,0.004306668261326952,0.03245232155600513,0.00011886019159718163,0.9865931417914078,1000000000.0,0.0
0.02,0.3,0.3,3.0,0.0675003131635809,0.05282029756198897,0.028145653294678177,0.0001381999358290853,2.9745872117746063e-05,0.00011886019159718163,0.04876922456132313,0.004306668261326952,0.03245232155600513,0.00011886019159718163,0.9865931417914078,24350000000.0,0.0
0.02,0.3,0.3,3.0,0.0675003131635809,0.05282029756198897,0.028145653294678177,0.0001381999358290853,2.9745872117746063e-05,0.00011886019159718163,0.04876922456132313,0.004306668261326952,0.03245232155600513,0.00011886019159718163,0.9865931417914078,1000000000000.0,0.0
0.02,0.3,0.6,3.0,0.0675003131635809,0.05282029756198897,0.024422608806262833,0.0001381999358290853,3.2796499884215594e-05,0.0003517166266491919,0.04876922456132313,0.004306668261326952,0.028729277067589785,0.0003517166266491919,0.9853067990721744,1000000000.0,0.0
0.02,0.3,0.6,3.0,0.0675003131635809,0.05282029756198897,0.024422608806262833,0.0001381999358290853,3.2796499884215594e-05,0.0003517166266491919,0.04876922456132313,0.004306668261326952,0.028729277067589785,0.0003517166266491919,0.9853067990721744,24350000000.0,0.0
0.02,0.3,0.6,3.0,0.0675003131635809,0.05282029756198897,0.024422608806262833,0.0001381999358290853,3.2796499884215594e-05,0.0003517166266491919,0.04876922456132313,0.004306668261326952,0.028729277067589785,0.0003517166266491919,0.9853067990721744,1000000000000.0,0.0
0.0393544,0,0.1,3.0,0.2613559475889969,0.204516072092299,0.20417737247078918,0.000535099371714104,7.652505480664582e-05,3.803850793079873e-05,0.10617691039648859,0.011915065778397002,0.21609243824918617,3.803850793079873e-05,0.9876526099299373,1000000000.0,0.0
0.0393544,0,0.1,3.0,0.2613559475889969,0.204516072092299,0.20417737247078918,0.000535099371714104,7.652505480664582e-05,3.803850793079873e-05,0.10617691039648859,0.011915065778397002,0.21609243824918617,3.803850793079873e-05,0.9876526099299373,24350000000.0,0.0
0.0393544,0,0.1,3.0,0.2613559475889969,0.204516072092299,0.20417737247078918,0.000535099371714104,7.652505480664582e-05,3.803850793079873e-05,0.10617691039648859,0.011915065778397002,0.21609243824918617,3.803850793079873e-05,0.9876526099299373,1000000000000.0,0.0
0.0393544,0,0.3,3.0,0.2613559475889969,0.204516072092299,0.20147069955800936,0.000535099371714104,7.719055538075068e-05,0.000318479690259526,0.10617691039648859,0.011915065778397002,0.21338576533640635,0.000318479690259526,0.9872725320793294,1000000000.0,0.0
0.0393544,0,0.3,3.0,0.2613559475889969,0.204516072092299,0.20147069955800936,0.000535099371714104,7.719055538075068e-05,0.000318479690259526,0.10617691039648859,0.011915065778397002,0.21338576533640635,0.000318479690259526,0.9872725320793294,24350000000.0,0.0
0.0393544,0,0.3,3.0,0.2613559475889969,0.204516072092299,0.20147069955800936,0.000535099371714104,7.719055538075068e-05,0.000318479690259526,0.10617691039648859,0.011915065778397002,0.21338576533640635,0.000318479690259526,0.9872725320793294,1000000000000.0,0.0
0.0393544,0,0.6,3.0,0.2613559475889969,0.204516072092299,0.19237642881953768,0.000535099371714104,7.953541639288415e-05,0.0010255690033493033,0.10617691039648859,0.011915065778397002,0.20429149459793466,0.0010255690033493033,0.985987757790952,1000000000.0,0.0
0.0393544,0,0.6,3.0,0.2613559475889969,0.204516072092299,0.19237642881953768,0.000535099371714104,7.953541639288415e-05,0.0010255690033493033,0.10617691039648859,0.011915065778397002,0.20429149459793466,0.0010255690033493033,0.985987757790952,24350000000.0,0.0
0.0393544,0,0.6,3.0,0.2613559475889969,0.204516072092299,0.19237642881953768,0.000535099371714104,7.953541639288415e-05,0.0010255690033493033,0.10617691039648859,0.011915065778397002,0.20429149459793466,0.0010255690033493033,0.985987757790952,1000000000000.0,0.0
0.0393544,0.01,0.1,3.0,0.2613559475889969,0.204516072092299,0.20412318814591543,0.000535099371714104,7.653823950969012e-05,3.804657268550554e-05,0.10617691039648859,0.011915065778397002,0.21603825392431242,3.804657268550554e-05,0.9876450111446986,1000000000.0,0.0
0.0393544,0.01,0.1,3.0,0.2613559475889969,0.204516072092299,0.20412318814591543,0.000535099371714104,7.653823950969012e-05,3.804657268550554e-05,0.10617691039648859,0.011915065778397002,0.21603825392431242,3.804657268550554e-05,0.9876450111446986,24350000000.0,0.0
0.0393544,0.01,0.1,3.0,0.2613559475889969,0.204516072092299,0.20412318814591543,0.000535099371714104,7.653823950969012e-05,3.804657268550554e-05,0.10617691039648859,0.011915065778397002,0.21603825392431242,3.804657268550554e-05,0.9876450111446986,1000000000000.0,0.0
0.0393544,0.01,0.3,3.0,0.2613559475889969,0.204516072092299,0.20141661957056833,0.000535099371714104,7.720399742325475e-05,0.000318544215852566,0.10617691039648859,0.011915065778397002,0.21333168534896535,0.000318544215852566,0.9872649276623621,1000000000.0,0.0
0.0393544,0.01,0.3,3.0,0.2613559475889969,0.204516072092299,0.20141661957056833,0.000535099371714104,7.720399742325475e-05,0.000318544215852566,0.10617691039648859,0.011915065778397002,0.21333168534896535,0.000318544215852566,0.9872649276623621,24350000000.0,0.0
0.0393544,0.01,0.3,3.0,0.2613559475889969,0.204516072092299,0.20141661957056833,0.000535099371714104,7.720399742325475e-05,0.000318544215852566,0.10617691039648859,0.011915065778397002,0.21333168534896535,0.000318544215852566,0.9872649276623621,1000000000000.0,0.0
0.0393544,0.01,0.6,3.0,0.2613559475889969,0.204516072092299,0.19232273528592259,0.000535099371714104,7.954978717932874e-05,0.0010257440458036845,0.10617691039648859,0.011915065778397002,0.2042378010643196,0.0010257440458036845,0.985980135406765,1000000000.0,0.0
0.0393544,0.01,0.6,3.0,0.2613559475889969,0.204516072092299,0.19232273528592259,0.000535099371714104,7.954978717932874e-05,0.0010257440458036845,0.10617691039648859,0.011915065778397002,0.2042378010643196,0.0010257440458036845,0.985980135406765,24350000000.0,0.0
0.0393544,0.01,0.6,3.0,0.2613559475889969,0.204516072092299,0.19232273528592259,0.000535099371714104,7.954978717932874e-05,0.0010257440458036845,0.10617691039648859,0.011915065778397002,0.2042378010643196,0.0010257440458036845,0.985980135406765,1000000000000.0,0.0
0.0393544,0.1,0.1,3.0,0.2613559475889969,0.204516072092299,0.19876937130522535,0.000535099371714104,7.78691242158078e-05,3.88639810373225e-05,0.10617691039648859,0.011915065778397002,0.21068443708362233,3.88639810373225e-05,0.986892176199775,1000000000.0,0.0
0.0393544,0.1,0.1,3.0,0.2613559475889969,0.204516072092299,0.19876937130522535,0.000535099371714104,7.78691242158078e-05,3.88639810373225e-05,0.10617691039648859,0.011915065778397002,0.21068443708362233,3.88639810373225e-05,0.986892176199775,24350000000.0,0.0
0.0393544,0.1,0.1,3.0,0.2613559475889969,0.204516072092299,0.19876937130522535,0.000535099371714104,7.78691242158078e-05,3.88639810373225e-05,0.10617691039648859,0.011915065778397002,0.21068443708362233,3.88639810373225e-05,0.986892176199775,1000000000000.0,0.0
0.0393544,0.1,0.3,3.0,0.2613559475889969,0.204516072092299,0.196073608198335,0.000535099371714104,7.856115260607686e-05,0.0003250843715160011,0.10617691039648859,0.011915065778397002,0.20798867397673199,0.0003250843715160011,0.9865115493982071,1000000000.0,0.0
0.0393544,0.1,0.3,3.0,0.2613559475889969,0.204516072092299,0.196073608198335,0.000535099371714104,7.856115260607686e-05,0.0003250843715160011,0.10617691039648859,0.011915065778397002,0.20798867397673199,0.0003250843715160011,0.9865115493982071,24350000000.0,0.0
0.0393544,0.1,0.3,3.0,0.2613559475889969,0.204516072092299,0.196073608198335,0.000535099371714104,7.856115260607686e-05,0.0003250843715160011,0.10617691039648859,0.011915065778397002,0.20798867397673199,0.0003250843715160011,0.9865115493982071,1000000000000.0,0.0
0.0393544,0.1,0.6,3.0,0.2613559475889969,0.204516072092299,0.1870195259756347,0.000535099371714104,8.100161866462541e-05,0.0010434524487474856,0.10617691039648859,0.011915065778397002,0.19893459175403172,0.0010434524487474856,0.9852250232142773,1000000000.0,0.0
0.0393544,0.1,0.6,3.0,0.2613559475889969,0.204516072092299,0.1870195259756347,0.000535099371714104,8.100161866462541e-05,0.0010434524487474856,0.10617691039648859,0.011915065778397002,0.19893459175403172,0.0010434524487474856,0.9852250232142773,24350000000.0,0.0
0.0393544,0.1,0.6,3.0,0.2613559475889969,0.204516072092299,0.1870195259756347,0.000535099371714104,8.100161866462541e-05,0.0010434524487474856,0.10617691039648859,0.011915065778397002,0.19893459175403172,0.0010434524487474856,0.9852250232142773,1000000000000.0,0.0
0.0393544,0.3,0.1,3.0,0.2613559475889969,0.204516072092299,0.15648426919174416,0.000535099371714104,9.087684960335184e-05,4.699386857047816e-05,0.10617691039648859,0.011915065778397002,0.16839933497014115,4.699386857047816e-05,0.9807738780575299,1000000000.0,0.0
0.0393544,0.3,0.1,3.0,0.2613559475889969,0.204516072092299,0.15648426919174416,0.000535099371714104,9.087684960335184e-05,4.699386857047816e-05,0.10617691039648859,0.011915065778397002,0.16839933497014115,4.699386857047816e-05,0.9807738780575299,24350000000.0,0.0
0.0393544,0.3,0.1,3.0,0.2613559475889969,0.204516072092299,0.15648426919174416,0.000535099371714104,9.087684960335184e-05,4.699386857047816e-05,0.10617691039648859,0.011915065778397002,0.16839933497014115,4.699386857047816e-05,0.9807738780575299,1000000000000.0,0.0
0.0393544,0.3,0.3,3.0,0.2613559475889969,0.204516072092299,0.153916038521201,0.000535099371714104,9.185263460233933e-05,0.0003907354204582062,0.10617691039648859,0.011915065778397002,0.16583110429959802,0.0003907354204582062,0.9803897320941872,1000000000.0,0.0
0.0393544,0.3,0.3,3.0,0.2613559475889969,0.204516072092299,0.153916038521201,0.000535099371714104,9.185263460233933e-05,0.0003907354204582062,0.10617691039648859,0.011915065778397002,0.16583110429959802,0.0003907354204582062,0.9803897320941872,24350000000.0,0.0
0.0393544,0.3,0.3,3.0,0.2613559475889969,0.204516072092299,0.153916038521201,0.000535099371714104,9.185263460233933e-05,0.0003907354204582062,0.10617691039648859,0.011915065778397002,0.16583110429959802,0.0003907354204582062,0.9803897320941872,1000000000000.0,0.0
0.0393544,0.3,0.6,3.0,0.2613559475889969,0.204516072092299,0.14533294151749498,0.000535099371714104,9.532223420516589e-05,0.0012209797392549555,0.10617691039648859,0.011915065778397002,0.157248007295892,0.0012209797392549555,0.9790919621134008,1000000000.0,0.0
0.0393544,0.3,0.6,3.0,0.2613559475889969,0.204516072092299,0.14533294151749498,0.000535099371714104,9.532223420516589e-05,0.0012209797392549555,0.10617691039648859,0.011915065778397002,0.157248007295892,0.0012209797392549555,0.9790919621134008,24350000000.0,0.0
0.0393544,0.3,0.6,3.0,0.2613559475889969,0.204516072092299,0.14533294151749498,0.000535099371714104,9.532223420516589e-05,0.0012209797392549555,0.10617691039648859,0.011915065778397002,0.157248007295892,0.0012209797392549555,0.9790919621134008,1000000000000.0,0.0
0.08,0,0.1,3.0,1.0800050106172945,0.8451247609918235,0.8444362077945766,0.0022111989732653647,0.00031605274084796743,0.00011583689717438473,0.2534319915596684,0.032591251267726294,0.877027459062303,0.00011583689717438473,0.974588892543907,1000000000.0,0.0
0.08,0,0.1,3.0,1.0800050106172945,0.8451247609918235,0.8444362077945766,0.0022111989732653647,0.00031605274084796743,0.00011583689717438473,0.2534319915596684,0.032591251267726294,0.877027459062303,0.00011583689717438473,0.974588892543907,24350000000.0,0.0
0.08,0,0.1,3.0,1.0800050106172945,0.8451247609918235,0.8444362077945766,0.0022111989732653647,0.00031605274084796743,0.00011583689717438473,0.2534319915596684,0.032591251267726294,0.877027459062303,0.00011583689717438473,0.974588892543907,1000000000000.0,0.0
0.08,0,0.3,3.0,1.0800050106172945,0.8451247609918235,0.8389306826521066,0.0022111989732653647,0.0003173972792998744,0.0009999535160384468,0.2534319915596684,0.032591251267726294,0.8715219339198329,0.0009999535160384468,0.9742023969682314,1000000000.0,0.0
0.08,0,0.3,3.0,1.0800050106172945,0.8451247609918235,0.8389306826521066,0.0022111989732653647,0.0003173972792998744,0.0009999535160384468,0.2534319915596684,0.032591251267726294,0.8715219339198329,0.0009999535160384468,0.9742023969682314,24350000000.0,0.0
