frame,video_time_s,time_s,disk_mass_msun,dynamical_ejecta_mass_msun,post_merger_ejecta_mass_msun,total_ejecta_mass_msun,magnetic_to_internal_energy_ratio,neutrino_luminosity_erg_s,north_jet_luminosity_erg_s,south_jet_luminosity_erg_s,north_jet_strength,south_jet_strength,jet_half_opening_angle_deg,black_hole_horizon_radius_km
18,2.25,0.04586,0.062,0.0016,0.0,0.0016,0.0012535518759163367,7.972467968612186e+52,5.6693098903289713e+45,2.136205669354426e+47,0.0005669309890328971,0.021362056693544264,5.5,6.748804160013962
19,2.375,0.047700000000000006,0.062,0.0016,0.0,0.0016,0.0013943387296165013,7.948169816788808e+52,5.984384654359922e+45,2.3182342927001276e+47,0.0005984384654359922,0.02318234292700128,5.5,6.748804160013962
20,2.5,0.04909,0.062,0.0016,0.0,0.0016,0.0015092899355631925,7.934191672714583e+52,6.233954606830904e+45,2.465702634434798e+47,0.0006233954606830905,0.02465702634434798,5.5,6.748804160013962
21,2.625,0.05093,0.062,0.0016,0.0,0.0016,0.0016733039403291656,7.921564956722275e+52,6.580389125264814e+45,2.6750406245863343e+47,0.0006580389125264815,0.026750406245863344,5.5,6.748804160013962
22,2.75,0.05278,0.062,0.0016,0.0,0.0016,0.0018522611163534174,7.915658325893638e+52,6.948104228380254e+45,2.9029035836340743e+47,0.0006948104228380255,0.029029035836340745,5.5,6.748804160013962
23,2.875,0.054619999999999995,0.062,0.0016,0.0,0.0016,0.0020445708934275103,7.916508963291028e+52,7.334196480974249e+45,3.1481618189890458e+47,0.0007334196480974249,0.03148161818989046,5.5,6.748804160013962
24,3.0,0.05647,0.062,0.0016,0.0,0.0016,0.0022524933106767013,7.924017711940336e+52,7.74400203645546e+45,3.414911701427009e+47,0.000774400203645546,0.03414911701427009,5.5,6.748804160013962
25,3.125,0.05785,0.062,0.0016,0.0,0.0016,0.0024170888276863205,7.933848727685364e+52,8.064524655217611e+45,3.6279605477830655e+47,0.0008064524655217612,0.036279605477830656,5.5,6.748804160013962
26,3.25,0.0597,0.062,0.0016,0.0,0.0016,0.002650274005334813,7.952473134467934e+52,8.515103253276112e+45,3.933713505435316e+47,0.0008515103253276112,0.039337135054353156,5.5,6.748804160013962
27,3.375,0.06154,0.062,0.0016,0.0,0.0016,0.0028959880631097786,7.976843022567316e+52,8.9881921878695e+45,4.262239026747878e+47,0.00089881921878695,0.04262239026747878,5.5,6.748804160013962
