N,f_over_Mpl,f_GeV,epsilon,d_g,eta_peak,M_GeV,TR_GeV,m_eV,Omega_h2,slope
6,1.687023975571048e-09,4107903380.5155015,4.55496473404183e-14,1e-06,3628.703615743124,5937924.938993706,593792493.8993707,7.5e-29,6.555855359618286e-20,0.49999999999999994
6,1.503561700881815e-09,3661172741.647219,4.0596165923809006e-14,1e-06,4071.472422056052,6662461.361810812,666246136.1810812,7.5e-29,5.2075010149132944e-20,0.49999999999999994
6,1.340050776452891e-09,3263023640.66279,3.6181370964228064e-14,1e-06,4568.26719372839,7475404.599025502,747540459.9025502,7.5e-29,4.136465088501004e-20,0.49999999999999994
6,1.1943215116604912e-09,2908172880.8932962,3.224668081483327e-14,1e-06,5125.680095545506,8387541.9134803945,838754191.3480395,7.5e-29,3.28571101174761e-20,0.49999999999999994
6,1.0644401677007285e-09,2591911808.351274,2.873988452791967e-14,1e-06,5751.107658050294,9410976.813156186,941097681.3156185,7.5e-29,2.609933027775625e-20,0.49999999999999994
6,9.48683298050514e-10,2310043830.7530017,2.5614449047363882e-14,1e-06,6452.848925009789,10559289.657369137,1055928965.7369137,7.5e-29,2.0731434947016038e-20,0.49999999999999994
6,8.455148793793351e-10,2058828731.288681,2.2828901743242052e-14,1e-06,7240.2155766835795,11847717.859888045,1184771785.9888046,7.5e-29,1.6467564124764477e-20,0.49999999999999994
6,7.535659294528749e-10,1834933038.2177503,2.0346280095227626e-14,1e-06,8123.655490163491,13293358.08015732,1329335808.0157318,7.5e-29,1.3080651141433138e-20,0.49999999999999994
6,6.716163415705016e-10,1635385791.7241714,1.8133641222403547e-14,1e-06,9114.891376354914,14915393.085580654,1491539308.5580654,7.5e-29,1.039033053021871e-20,0.49999999999999994
6,2.1238373531524128e-07,517154395492.6125,5.734360853511516e-12,1e-06,28.823817374308554,47166.61434716161,4716661.434716161,7.5e-29,1.039033053021871e-15,0.49999999999999994
6,2.3829847041728474e-07,580256775466.0884,6.434058701266689e-12,1e-06,25.689254275448206,42037.28928550031,4203728.928550031,7.5e-29,1.3080651141433143e-15,0.49999999999999994
6,2.6737528144012386e-07,651058810306.7017,7.219132598883345e-12,1e-06,22.895571972949558,37465.773512301814,3746577.3512301813,7.5e-29,1.6467564124764545e-15,0.49999999999999994
6,3.000000000000001e-07,730500000000.0002,8.100000000000005e-12,1e-06,20.4057,33391.40579074543,3339140.5790745434,7.5e-29,2.073143494701604e-15,0.49999999999999994
8,4.2376126338682677e-07,1031858676346.9232,1.4949110862642192e-11,1e-06,18.874777519275266,8155519791.47773,815551979147.773,7.5e-29,2.3267616122818146e-15,0.3826834323650898
6,3.36605536290589e-07,819634480867.5842,9.088349479845906e-12,1e-06,18.186599268275774,29760.121736606463,2976012.173660646,7.5e-29,2.6099330277756134e-15,0.49999999999999994
8,4.7546795773833444e-07,1157764477092.8442,1.6773178263290477e-11,1e-06,16.822163171119822,6862014730.140599,686201473014.0599,7.5e-29,2.9292193208887406e-15,0.3826834323650898
6,3.776776235382508e-07,919645013315.6406,1.0197295835532773e-11,1e-06,16.208823659313246,26523.73641672494,2652373.641672494,7.5e-29,3.2857110117476224e-15,0.49999999999999994
8,5.33483823011677e-07,1299033109033.4336,1.8819815548708462e-11,1e-06,14.992768707699486,5773665855.838071,577366585583.8071,7.5e-29,3.687668639785287e-15,0.3826834323650898
6,4.2376126338682677e-07,1031858676346.9232,1.1441554111444325e-11,1e-06,14.446129292407388,23639.304964218307,2363930.4964218307,7.5e-29,4.1364650885010026e-15,0.49999999999999994
8,5.985786944906638e-07,1457539121084.7664,2.1116180352209917e-11,1e-06,13.362319175959435,4857934400.584903,485793440058.4903,7.5e-29,4.642499760902124e-15,0.3826834323650898
6,4.7546795773833444e-07,1157764477092.8442,1.2837634858935033e-11,1e-06,12.875126284259473,21068.552726189275,2106855.2726189275,7.5e-29,5.207501014913316e-15,0.49999999999999994
8,6.71616341570503e-07,1635385791724.1748,2.36927440395481e-11,1e-06,11.909179501216364,4087442403.08319,408744240308.319,7.5e-29,5.844560923248049e-15,0.3826834323650898
6,5.33483823011677e-07,1299033109033.4336,1.4404063221315283e-11,1e-06,11.474968379436703,18777.367382336484,1877736.7382336485,7.5e-29,6.555855359618286e-15,0.49999999999999994
8,7.535659294528749e-07,1834933038217.7502,2.6583696045425807e-11,1e-06,10.614067402862265,3439154179.708759,343915417970.87585,7.5e-29,7.35786626705614e-15,0.3826834323650898
6,5.985786944906638e-07,1457539121084.7664,1.6161624751247926e-11,1e-06,10.22707633322803,16735.346295189396,1673534.6295189396,7.5e-29,8.253332908270442e-15,0.49999999999999994
8,8.455148793793368e-07,2058828731288.685,2.9827397546521874e-11,1e-06,9.459797530215804,2893687618.1757174,289368761817.5717,7.5e-29,9.263004820180057e-15,0.3826834323650898
6,6.71616341570503e-07,1635385791724.1748,1.8133641222403584e-11,1e-06,9.114891376354896,14915.393085580623,1491539.3085580622,7.5e-29,1.0390330530218752e-14,0.49999999999999994
8,9.486832980505142e-07,2310043830753.002,3.3466890490998634e-11,1e-06,8.431053423360126,2434734703.3719068,243473470337.19067,7.5e-29,1.1661432157696526e-14,0.3826834323650898
6,7.535659294528749e-07,1834933038217.7502,2.0346280095227628e-11,1e-06,8.123655490163493,13293.358080157317,1329335.8080157316,7.5e-29,1.3080651141433137e-14,0.49999999999999994
8,1.0644401677007263e-06,2591911808351.2686,3.755046873900335e-11,1e-06,7.514184273025443,2048573950.612079,204857395061.2079,7.5e-29,1.4680873281237828e-14,0.3826834323650898
6,8.455148793793368e-07,2058828731288.685,2.28289017432421e-11,1e-06,7.240215576683568,11847.71785988802,1184771.785988802,7.5e-29,1.6467564124764545e-14,0.49999999999999994
8,1.1943215116604936e-06,2908172880893.302,4.21323188928508e-11,1e-06,6.697023782643751,1723660169.345903,172366016934.5903,7.5e-29,1.848212444108038e-14,0.3826834323650898
